Image Name,Date,Caption,Centroid Coordinates,DSCOVR J2000 Position,Lunar J2000 Position,Sun J2000 Position,Attitude Quaternions
epic_1b_20230902004554,2023-09-02 00:41:06,This image was taken by NASA's EPIC camera onboard the NOAA DSCOVR spacecraft,"{'lat': 4.350586, 'lon': 177.165527}","{'x': -1443603.595452, 'y': 277128.487501, 'z': 115517.387219}","{'x': 359851.079542, 'y': 42823.593538, 'z': 7148.281168}","{'x': -140934476.799975, 'y': 49650443.600061, 'z': 21523811.919149}","{'q0': 0.83627, 'q1': -0.05811, 'q2': -0.08425, 'q3': 0.53869}"
epic_1b_20230902015122,2023-09-02 01:46:34,This image was taken by NASA's EPIC camera onboard the NOAA DSCOVR spacecraft,"{'lat': 4.299316, 'lon': 160.759277}","{'x': -1443988.829166, 'y': 275913.043751, 'z': 115310.422524}","{'x': 359536.12495, 'y': 46568.266201, 'z': 9160.006853}","{'x': -140974472.533314, 'y': 49550656.400048, 'z': 21480560.833897}","{'q0': 0.83599, 'q1': -0.05771, 'q2': -0.08398, 'q3': 0.5392}"
epic_1b_20230902040218,2023-09-02 03:57:29,This image was taken by NASA's EPIC camera onboard the NOAA DSCOVR spacecraft,"{'lat': 4.306641, 'lon': 128.210449}","{'x': -1444757.222208, 'y': 273482.778125, 'z': 114896.744173}","{'x': 358769.547206, 'y': 54011.688014, 'z': 13165.037225}","{'x': -141054213.866672, 'y': 49351017.483323, 'z': 21394030.991683}","{'q0': 0.83541, 'q1': -0.05698, 'q2': -0.08346, 'q3': 0.54026}"
epic_1b_20230902092935,2023-09-02 09:24:46,This image was taken by NASA's EPIC camera onboard the NOAA DSCOVR spacecraft,"{'lat': 4.299316, 'lon': 46.26709}","{'x': -1446666.885193, 'y': 267408.675002, 'z': 113863.619434}","{'x': 356034.164299, 'y': 72574.470558, 'z': 23189.64538}","{'x': -141252082.906713, 'y': 48851420.533475, 'z': 21177486.466728}","{'q0': 0.83398, 'q1': -0.0551, 'q2': -0.08213, 'q3': 0.54287}"
epic_1b_20230902103502,2023-09-02 10:30:13,This image was taken by NASA's EPIC camera onboard the NOAA DSCOVR spacecraft,"{'lat': 4.27002, 'lon': 29.919434}","{'x': -1447046.766841, 'y': 266194.1963, 'z': 113657.168228}","{'x': 355350.319984, 'y': 76254.651618, 'z': 25183.378692}","{'x': -141291394.953676, 'y': 48751424.933312, 'z': 21134144.566657}","{'q0': 0.83366, 'q1': -0.05486, 'q2': -0.0819, 'q3': 0.54341}"
epic_1b_20230902114029,2023-09-02 11:35:41,This image was taken by NASA's EPIC camera onboard the NOAA DSCOVR spacecraft,"{'lat': 4.255371, 'lon': 13.54248}","{'x': -1447426.269596, 'y': 264979.471874, 'z': 113450.708252}","{'x': 354620.815033, 'y': 79925.731241, 'z': 27174.289185}","{'x': -141330643.907076, 'y': 48651371.729746, 'z': 21090778.187181}","{'q0': 0.83338, 'q1': -0.05448, 'q2': -0.08163, 'q3': 0.54392}"
epic_1b_20230902124557,2023-09-02 12:41:08,This image was taken by NASA's EPIC camera onboard the NOAA DSCOVR spacecraft,"{'lat': 4.255371, 'lon': -2.775879}","{'x': -1447804.90298, 'y': 263765.120317, 'z': 113244.33769}","{'x': 353846.255681, 'y': 83585.385486, 'z': 29161.109229}","{'x': -141369807.723804, 'y': 48551319.903118, 'z': 21047411.55157}","{'q0': 0.83309, 'q1': -0.054005, 'q2': -0.081355, 'q3': 0.54445}"
epic_1b_20230902135124,2023-09-02 13:46:36,This image was taken by NASA's EPIC camera onboard the NOAA DSCOVR spacecraft,"{'lat': 4.240723, 'lon': -19.160156}","{'x': -1448183.075, 'y': 262550.485249, 'z': 113037.954875}","{'x': 353026.38372, 'y': 87235.024261, 'z': 31144.601402}","{'x': -141408883.957735, 'y': 48451208.703938, 'z': 21004019.551955}","{'q0': 0.8328, 'q1': -0.05369, 'q2': -0.08108, 'q3': 0.54496}"
epic_1b_20230902145652,2023-09-02 14:52:03,This image was taken by NASA's EPIC camera onboard the NOAA DSCOVR spacecraft,"{'lat': 4.211426, 'lon': -35.515137}","{'x': -1448560.5375, 'y': 261336.244083, 'z': 112831.662667}","{'x': 352161.826358, 'y': 90872.354859, 'z': 33123.51293}","{'x': -141447869.600037, 'y': 48351095.514517, 'z': 20960626.857273}","{'q0': 0.83249, 'q1': -0.05333, 'q2': -0.08083, 'q3': 0.54552}"
epic_1b_20230902160219,2023-09-02 15:57:31,This image was taken by NASA's EPIC camera onboard the NOAA DSCOVR spacecraft,"{'lat': 4.21875, 'lon': -51.921387}","{'x': -1448937.345833, 'y': 260121.72181, 'z': 112625.341586}","{'x': 351252.338308, 'y': 94498.771678, 'z': 35098.599816}","{'x': -141486778.200808, 'y': 48250928.450011, 'z': 20917210.804122}","{'q0': 0.83222, 'q1': -0.052939, 'q2': -0.08057, 'q3': 0.546}"
